iter	Passed	Remaining
0	143	143241
1	146	73109
2	149	49721
3	152	37957
4	155	30889
5	158	26181
6	160	22822
7	163	20306
8	166	18341
9	169	16780
10	172	15506
11	175	14431
12	178	13529
13	181	12774
14	184	12106
15	187	11517
16	190	10994
17	193	10531
18	196	10134
19	199	9761
20	202	9421
21	204	9107
22	207	8827
23	211	8581
24	213	8343
25	216	8128
26	219	7925
27	222	7733
28	225	7558
29	228	7392
30	231	7234
31	234	7091
32	237	6962
33	240	6834
34	243	6712
35	246	6601
36	249	6489
37	252	6402
38	255	6301
39	258	6204
40	261	6117
41	264	6033
42	267	5953
43	270	5874
44	273	5804
45	276	5731
46	279	5669
47	282	5603
48	285	5538
49	288	5475
50	291	5415
51	294	5364
52	297	5310
53	300	5257
54	302	5205
55	305	5158
56	309	5125
57	312	5080
58	315	5036
59	318	4990
60	321	4947
61	325	4919
62	328	4889
63	332	4861
64	335	4831
65	338	4795
66	342	4762
67	343	4711
68	346	4676
69	349	4642
70	352	4610
71	355	4579
72	358	4548
73	361	4518
74	364	4499
75	367	4469
76	370	4441
77	373	4414
78	376	4386
79	379	4366
80	382	4343
81	385	4318
82	388	4292
83	391	4272
84	393	4240
85	396	4218
86	398	4186
87	401	4166
88	404	4145
89	407	4123
90	410	4101
91	413	4082
92	416	4062
93	419	4044
94	422	4024
95	425	4004
96	428	3985
97	431	3968
98	434	3953
99	437	3935
100	440	3919
101	441	3890
102	444	3874
103	448	3864
104	451	3850
105	454	3833
106	457	3817
107	460	3801
108	464	3794
109	467	3781
110	470	3765
111	472	3749
112	476	3737
113	478	3722
114	481	3707
115	484	3689
116	486	3675
117	490	3662
118	492	3646
119	495	3633
120	498	3624
121	502	3613
122	504	3593
123	507	3583
124	510	3571
125	513	3560
126	516	3547
127	518	3531
128	521	3523
129	525	3514
130	528	3505
131	532	3499
132	535	3489
133	538	3481
134	542	3472
135	545	3463
136	548	3456
137	551	3443
138	554	3435
139	557	3426
140	561	3420
141	564	3411
142	567	3402
143	570	3391
144	574	3385
145	577	3378
146	580	3370
147	584	3363
148	587	3356
149	590	3348
150	594	3341
151	597	3333
152	600	3326
153	604	3319
154	607	3312
155	610	3304
156	612	3290
157	614	3276
158	617	3263
159	618	3248
160	620	3232
161	621	3216
162	623	3201
163	625	3187
164	627	3173
165	628	3157
166	629	3142
167	631	3126
168	632	3109
169	633	3093
170	634	3077
171	635	3060
172	636	3044
173	637	3028
174	639	3012
175	640	2996
176	641	2981
177	642	2966
178	643	2951
179	644	2936
180	645	2918
181	646	2904
182	647	2890
183	648	2876
184	649	2862
185	651	2849
186	652	2835
187	653	2821
188	654	2808
189	655	2795
190	656	2781
191	657	2768
192	659	2755
193	660	2742
194	661	2729
195	662	2717
196	663	2704
197	664	2692
198	665	2679
199	666	2667
200	667	2655
201	668	2642
202	669	2630
203	671	2618
204	672	2607
205	673	2595
206	674	2583
207	675	2572
208	676	2560
209	677	2549
210	678	2537
211	679	2526
212	680	2515
213	681	2503
214	682	2492
215	683	2481
216	684	2470
217	685	2459
218	686	2448
219	687	2438
220	688	2427
221	689	2416
222	690	2406
223	691	2396
224	692	2385
225	693	2375
226	694	2365
227	695	2354
228	696	2344
229	697	2335
230	698	2325
231	699	2316
232	700	2307
233	702	2298
234	703	2290
235	704	2281
236	705	2272
237	706	2262
238	707	2253
239	708	2243
240	709	2234
241	710	2225
242	711	2216
243	712	2207
244	713	2198
245	714	2190
246	715	2181
247	716	2173
248	717	2164
249	718	2155
250	719	2147
251	720	2138
252	721	2130
253	722	2122
254	723	2113
255	724	2105
256	725	2097
257	726	2089
258	727	2082
259	728	2074
260	729	2066
261	730	2058
262	731	2051
263	732	2043
264	733	2035
265	734	2028
266	736	2020
267	737	2013
268	738	2005
269	739	1998
270	740	1991
271	741	1984
272	742	1977
273	743	1970
274	744	1962
275	745	1955
276	746	1948
277	747	1941
278	748	1934
279	749	1927
280	750	1920
281	751	1913
282	752	1907
283	753	1900
284	754	1893
285	755	1887
286	756	1880
287	757	1873
288	758	1867
289	759	1860
290	761	1854
291	762	1847
292	763	1841
293	764	1835
294	765	1828
295	766	1822
296	767	1815
297	768	1809
298	769	1804
299	770	1797
300	771	1791
301	772	1785
302	773	1779
303	774	1773
304	775	1767
305	776	1761
306	777	1755
307	778	1748
308	779	1743
309	780	1737
310	781	1731
311	782	1726
312	783	1720
313	784	1714
314	785	1708
315	786	1702
316	787	1697
317	788	1691
318	789	1685
319	790	1680
320	791	1674
321	792	1668
322	793	1663
323	794	1657
324	795	1652
325	796	1647
326	797	1642
327	798	1636
328	799	1631
329	800	1626
330	801	1620
331	802	1615
332	803	1610
333	804	1604
334	805	1599
335	806	1594
336	807	1589
337	808	1584
338	810	1579
339	811	1574
340	812	1569
341	813	1564
342	814	1559
343	815	1554
344	816	1549
345	817	1544
346	818	1539
347	819	1534
348	820	1529
349	821	1524
350	822	1520
351	823	1515
352	824	1510
353	825	1506
354	826	1502
355	827	1497
356	828	1492
357	829	1488
358	830	1483
359	831	1478
360	832	1474
361	833	1469
362	834	1464
363	835	1460
364	836	1455
365	837	1450
366	838	1446
367	839	1442
368	840	1437
369	841	1433
370	842	1428
371	843	1424
372	844	1419
373	845	1415
374	846	1411
375	847	1406
376	848	1402
377	849	1398
378	850	1393
379	851	1389
380	852	1385
381	853	1381
382	854	1376
383	855	1372
384	856	1368
385	857	1364
386	858	1360
387	859	1355
388	860	1351
389	861	1347
390	862	1343
391	863	1339
392	864	1335
393	865	1331
394	866	1327
395	867	1323
396	868	1319
397	869	1314
398	870	1310
399	871	1306
400	872	1302
401	873	1298
402	874	1294
403	875	1291
404	876	1287
405	877	1283
406	878	1279
407	879	1275
408	879	1271
409	880	1267
410	881	1263
411	882	1260
412	883	1256
413	884	1252
414	885	1248
415	886	1245
416	887	1241
417	888	1237
418	889	1234
419	891	1230
420	892	1226
421	893	1223
422	894	1219
423	895	1215
424	896	1212
425	897	1208
426	898	1205
427	899	1201
428	900	1197
429	900	1194
430	901	1190
431	902	1187
432	903	1183
433	904	1180
434	905	1176
435	906	1173
436	907	1169
437	908	1166
438	909	1162
439	910	1159
440	911	1155
441	912	1152
442	913	1148
443	914	1145
444	915	1142
445	916	1138
446	917	1135
447	918	1131
448	919	1128
449	920	1125
450	921	1121
451	922	1118
452	923	1115
453	924	1112
454	925	1109
455	926	1105
456	927	1102
457	928	1099
458	929	1096
459	930	1092
460	931	1089
461	932	1086
462	933	1083
463	934	1079
464	935	1076
465	936	1073
466	937	1070
467	938	1067
468	939	1064
469	940	1061
470	941	1057
471	942	1054
472	943	1051
473	944	1048
474	945	1045
475	946	1042
476	947	1039
477	948	1036
478	949	1033
479	950	1030
480	951	1027
481	952	1023
482	953	1020
483	954	1017
484	955	1014
485	956	1011
486	957	1008
487	958	1005
488	959	1002
489	960	999
490	961	996
491	962	993
492	963	990
493	964	988
494	965	985
495	966	982
496	967	979
497	968	976
498	969	973
499	970	970
500	971	967
501	972	965
502	973	962
503	974	959
504	975	956
505	976	953
506	977	950
507	978	947
508	979	945
509	980	942
510	981	939
511	982	936
512	983	933
513	984	931
514	985	928
515	986	925
516	987	922
517	988	919
518	989	916
519	990	914
520	991	911
521	992	908
522	993	905
523	994	903
524	995	900
525	996	897
526	996	894
527	997	892
528	998	889
529	999	886
530	1000	883
531	1001	881
532	1002	878
533	1003	875
534	1004	873
535	1005	870
536	1006	867
537	1007	865
538	1008	862
539	1009	859
540	1010	857
541	1011	854
542	1012	852
543	1013	849
544	1014	846
545	1015	844
546	1016	841
547	1017	838
548	1018	836
549	1019	833
550	1020	831
551	1021	828
552	1022	826
553	1023	823
554	1024	821
555	1025	818
556	1026	816
557	1027	813
558	1028	811
559	1028	808
560	1029	805
561	1030	803
562	1031	800
563	1032	798
564	1033	795
565	1034	793
566	1035	790
567	1036	788
568	1037	785
569	1038	783
570	1039	781
571	1040	778
572	1041	776
573	1042	773
574	1043	771
575	1044	768
576	1045	766
577	1046	763
578	1047	761
579	1048	758
580	1048	756
581	1050	754
582	1051	751
583	1052	749
584	1053	747
585	1054	744
586	1055	742
587	1056	739
588	1056	737
589	1057	735
590	1058	732
591	1059	730
592	1060	728
593	1061	725
594	1062	723
595	1063	721
596	1065	719
597	1066	717
598	1067	714
599	1068	712
600	1069	710
601	1070	708
602	1071	705
603	1072	703
604	1073	701
605	1074	698
606	1075	696
607	1076	694
608	1077	691
609	1078	689
610	1079	687
611	1080	685
612	1081	682
613	1082	680
614	1083	678
615	1084	675
616	1085	673
617	1086	671
618	1087	669
619	1088	666
620	1089	664
621	1090	662
622	1091	660
623	1092	658
624	1093	655
625	1094	653
626	1094	651
627	1095	649
628	1096	646
629	1097	644
630	1098	642
631	1099	640
632	1100	638
633	1101	636
634	1102	633
635	1103	631
636	1104	629
637	1105	627
638	1106	625
639	1107	623
640	1108	620
641	1109	618
642	1110	616
643	1111	614
644	1112	612
645	1113	610
646	1114	608
647	1115	606
648	1116	603
649	1117	601
650	1118	599
651	1119	597
652	1120	595
653	1121	593
654	1122	591
655	1123	589
656	1124	587
657	1125	585
658	1126	583
659	1127	580
660	1128	578
661	1129	576
662	1130	574
663	1131	572
664	1132	570
665	1133	568
666	1134	566
667	1135	564
668	1136	562
669	1137	560
670	1138	558
671	1139	556
672	1140	554
673	1141	552
674	1142	550
675	1143	548
676	1144	546
677	1145	544
678	1146	542
679	1147	540
680	1149	538
681	1150	536
682	1150	534
683	1151	532
684	1152	530
685	1153	528
686	1154	526
687	1155	524
688	1156	522
689	1157	520
690	1158	518
691	1160	516
692	1161	514
693	1162	512
694	1163	510
695	1164	508
696	1165	506
697	1166	504
698	1167	502
699	1168	500
700	1169	498
701	1169	496
702	1170	494
703	1171	492
704	1172	490
705	1173	488
706	1174	486
707	1175	484
708	1176	482
709	1177	481
710	1178	479
711	1179	477
712	1180	475
713	1181	473
714	1182	471
715	1183	469
716	1184	467
717	1185	465
718	1186	463
719	1187	461
720	1188	459
721	1189	458
722	1190	456
723	1191	454
724	1192	452
725	1193	450
726	1194	448
727	1195	446
728	1196	444
729	1197	443
730	1198	441
731	1199	439
732	1200	437
733	1201	435
734	1202	433
735	1203	431
736	1204	429
737	1205	428
738	1206	426
739	1207	424
740	1208	422
